-50116.1110141193	  inf
-45402.2678413312	9.40584e-02
-45244.4796659914	3.47534e-03
-44677.8173534600	1.25245e-02
-43517.9684610422	2.59603e-02
-41328.2794822342	5.03169e-02
-38098.2320162301	7.81559e-02
-35108.8013020140	7.84664e-02
-33562.3559934951	4.40472e-02
-32991.6018187551	1.70058e-02
-32745.8719883482	7.44825e-03
-32577.3372695160	5.14675e-03
-32427.6962920670	4.59341e-03
-32288.1059085355	4.30467e-03
-32218.7176241278	2.14904e-03
-32192.5651147089	8.11718e-04
-32175.7241697081	5.23132e-04
-32160.2094592882	4.82187e-04
-32149.2305775410	3.41381e-04
-32137.5891703932	3.62105e-04
-32129.4901935334	2.52009e-04
-32122.9050689413	2.04956e-04
-32117.2412821627	1.76316e-04
-32112.3226533329	1.53146e-04
-32108.0146827260	1.34153e-04
-32104.2130075685	1.18403e-04
-32100.8354737498	1.05205e-04
-32097.8165721623	9.40443e-05
